Country_code,Country,year,NY.GDP.PCAP.KD.ZG,SH.DYN.MORT,SH.MED.PHYS.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
SYR,Syrian Arab Republic,2008,0.843363715439807,19.0,1.419,73.368,21636564.0,54.5858464394493
SYR,Syrian Arab Republic,2016,-5.28022453338099,32.2,1.172,65.19,19193834.0,75.15400963398
TCD,Chad,2000,-4.24950215625832,183.6,0.028,47.937,8512093.0,21.6527690760484
TCD,Chad,2004,27.8073148134373,170.0,0.035,48.687,9920036.0,21.7377792120134
TCD,Chad,2012,5.29734255122003,140.1,0.04,50.765,13210998.0,22.1061904148178
TCD,Chad,2016,-7.0850619018951,125.7,0.036,51.603,15114655.0,23.1119734707179
TGO,Togo,1980,11.3980264657862,178.8,0.055,52.146,2920894.0,24.7125978839733
TGO,Togo,1984,2.07366660498529,163.2,0.117,54.094,3332837.0,26.2021681670453
TGO,Togo,2004,-3.48771797818526,105.9,0.043,55.594,5696508.0,34.9007435603688
TGO,Togo,2008,1.08763807878243,94.1,0.055,56.651,6368812.0,36.6808327233827
TGO,Togo,2016,1.62761006802251,73.2,0.044,59.669,7858289.0,40.1485878279739
THA,Thailand,1980,3.02724612072593,60.7,0.147,62.186,45650022.0,17.0844066743608
THA,Thailand,1984,3.76302695681466,50.3,0.16,65.55,49351708.0,17.7013465942106
THA,Thailand,1988,11.3728951000104,41.2,0.21,68.194,52969595.0,18.2800825523918
THA,Thailand,2004,5.34116205951062,18.1,0.289,72.1,65452047.0,36.785516284484
THA,Thailand,2008,0.947280170156503,15.3,0.311,74.221,67619830.0,41.8954507430475
THA,Thailand,2016,2.96944155296718,11.5,0.433,76.769,70859841.0,47.8801095551247
TJK,Tajikistan,1992,-30.3597640189133,105.9,2.314,57.085,5649400.0,30.6177365157904
TJK,Tajikistan,1996,-18.3194300083395,104.0,1.972,60.806,6066523.0,27.769317170259
TJK,Tajikistan,2000,7.00808967496647,79.7,2.148,63.542,6284735.0,26.5355104669232
TJK,Tajikistan,2004,8.15635551136702,56.7,1.914,66.604,6790547.0,26.5327772632159
TJK,Tajikistan,2008,5.78378645390583,41.7,1.895,67.924,7338403.0,26.5306015116451
TJK,Tajikistan,2012,4.96076448659319,33.6,1.697,69.13,8014084.0,26.4102249145508
TJK,Tajikistan,2016,4.2256886170877,29.4,1.754,69.982,8865631.0,26.3718509674072
TKM,Turkmenistan,1988,7.69755768557008,83.6,3.55,63.699,3559363.0,45.237814674453
TKM,Turkmenistan,1992,-16.8801033284759,78.3,3.589,63.753,3944689.0,44.802815831344
TKM,Turkmenistan,1996,4.88281215588242,79.0,3.222,63.538,4263819.0,44.8415980584705
TKM,Turkmenistan,2000,3.38607015598539,69.7,2.708,64.931,4582677.0,46.0736689106993
TKM,Turkmenistan,2004,3.00488650007382,55.6,2.479,66.055,4958093.0,46.7375427392139
TKM,Turkmenistan,2008,12.5329864814578,46.0,2.126,67.584,5345029.0,46.8658106736347
TKM,Turkmenistan,2012,8.70665885774136,42.5,2.029,68.961,5808546.0,46.9603023107661
TKM,Turkmenistan,2016,3.79096200658724,43.3,1.959,69.142,6360041.0,47.0227025249994
TLS,Timor-Leste,2004,-0.917955727961413,91.7,0.082,60.743,929074.0,25.7040830077802
TLS,Timor-Leste,2008,8.42335661758385,76.8,0.037,62.858,1032429.0,28.8076745459306
TON,Tonga,2000,3.1164781634571,17.0,0.499,69.635,102677.0,23.0251513819988
TON,Tonga,2008,4.57476736236848,13.7,0.533,71.041,107020.0,23.2889000757567
TTO,Trinidad and Tobago,1980,9.00273729982064,40.3,0.726,66.507,1121744.0,52.3113065070108
TTO,Trinidad and Tobago,1984,-6.75126185963548,36.4,1.043,66.556,1172984.0,53.5829996999832
TTO,Trinidad and Tobago,1996,6.66021028344292,30.2,0.736,68.039,1300928.0,55.7836876407195
TTO,Trinidad and Tobago,2000,6.49101487437005,28.8,0.966,68.629,1319774.0,55.9291468285602
TUN,Tunisia,1980,4.98333628920737,95.2,0.271,63.669,6606195.0,51.5609159527086
TUN,Tunisia,1992,5.56226775420092,50.0,0.587,69.684,8682512.0,59.8253634803163
TUN,Tunisia,1996,5.61085297467285,39.2,0.665,71.247,9294432.0,62.0784646432836
